,Entity_Number,Entity_Name,Item,code,equip_name_short,Budget_Allocation,department,GROUP_AMOUNT_NEW,implementation,plan,reason,BUDGE_TYPE,BUDGE_CODE,NAME,BUDGE_STATUS,PROJ_TYPE,PROJ_TYPE_CODE,ISPAID,PAID_TYPE,YEAR,APPROVE_STATUS,PUSHFLAG,PUSHTIME,FREEZEFLAG,_create_time,CHANGEUSERNAME,ORGNAME,ORGID,_modifier,_modify_time,LASTUSERNAME,project_code,project_name,org_name,pk_manag_org,org_code,pk_company,company_name,company_code,M_FIR_BIZ,M_FIR_BIZ_CODE,M_SEC_BIZ,M_SEC_BIZ_CODE,M_BIZ_TYPE_NAME,M_BIZ_TYPE_CODE,sub_factory_code,sub_factory_name,factory_code,factory_name,start_month,acceptance_month,equipment_location,equip_seq,equipment_type,manufacturer,type,location,former_name,facility_period,facility_no,Operation,fati_name,fati_code
20,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703Eq02,PS3703703,1期1#进水提升泵房,Eq02,Equipment,0.5,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-10 16:57:29,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,2024-11-01,2024-12-01,el02,,,,,,,1期,eacd6657a63645e089b126cbedbf5d56,,,
21,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703703Eq07,PS3703703,1期1#进水提升泵房,Eq07,Equipment,11.0,,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-10 16:57:29,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,2024-11-01,2024-12-01,el02,,,,,,,1期,eacd6657a63645e089b126cbedbf5d56,,,
22,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703704Eq02,PS3703704,1期1#细格栅,Eq02,Equipment,0.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-10 16:57:29,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el02,,,,,,,1期,867028e49b63464bba5dc9d49ddb65e6,,,
23,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703709050003005AYEq01,PS3703709050003005AY,1期1#污泥脱水机房2#污泥脱水机,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,2.0,带式脱水机,无锡通用,,1期1#污泥脱水机房,一期2#带式脱水机,1期,3ef471ba197441749e4775feaa112488,Y3720210036,1期1#污泥脱水机房,PS3703709
24,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703709050003005AYEq04,PS3703709050003005AY,1期1#污泥脱水机房2#污泥脱水机,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,2.0,带式脱水机,无锡通用,,1期1#污泥脱水机房,一期2#带式脱水机,1期,3ef471ba197441749e4775feaa112488,Y3720210036,1期1#污泥脱水机房,PS3703709
25,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703709Eq02,PS3703709,1期1#污泥脱水机房,Eq02,Equipment,1.0,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-10 16:57:29,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el02,,,,,,,1期,3ef471ba197441749e4775feaa112488,,,
26,Y3720210036,山东日照岚山区污水处理项目-BOT,PS3703713Eq02,PS3703713,1期1#鼓风机房,Eq02,Equipment,1.0,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-10 16:57:29,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el02,,,,,,,1期,8154b460fd5740f1ae793a93efed0146,,,
27,Y3720210036,山东日照岚山区污水处理项目-BOT,PS37037A3020005002AYEq01,PS37037A3020005002AY,1期1#鼓风机房1#曝气风机,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,1.0,罗茨鼓风机,章丘章晃,,1期1#鼓风机房,一期1#罗茨鼓风机,1期,8154b460fd5740f1ae793a93efed0146,Y3720210036,1期1#鼓风机房,PS3703713
28,Y3720210036,山东日照岚山区污水处理项目-BOT,PS37037A3020005002AYEq04,PS37037A3020005002AY,1期1#鼓风机房1#曝气风机,Eq04,Equipment,0.2,I02,测试,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,1.0,罗茨鼓风机,章丘章晃,,1期1#鼓风机房,一期1#罗茨鼓风机,1期,8154b460fd5740f1ae793a93efed0146,Y3720210036,1期1#鼓风机房,PS3703713
29,Y3720210036,山东日照岚山区污水处理项目-BOT,PS37037A302000A004AYEq01,PS37037A302000A004AY,1期1#鼓风机房3#曝气风机,Eq01,Equipment,1.2,,,,010103,BY3720210036,,1,,,,,2025,1,0,2025-04-03 15:50:30,0,,,,900104972,liujian2,2024-12-11 09:37:39,刘健,Y3720210036,山东日照岚山区污水处理项目-BOT,日照市岚山区污水厂,1202552,D007483,0001D210000000000GA7,日照市岚山云通水务有限公司,040062,污水,01,市政污水处理,0101,市政污水处理,010101,PS37037-01,日照岚山,PS37037,日照市岚山区污水厂,,,el01,3.0,磁悬浮鼓风机,天津亿昇,,1期1#鼓风机房,一期3#磁悬浮鼓风机,1期,8154b460fd5740f1ae793a93efed0146,Y3720210036,1期1#鼓风机房,PS3703713
